BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
辟	N- 			p		 	e 	k 	 			B&SOC2015-10-13	
邲	 			b		 	i 	t 	 			B&SOC2015-10-13	
嬖	 			p	ˤ	 	e 	k 		s 		B&SOC2015-10-13	
閉	 			p	ˤ	 	i 	t 		s 		B&SOC2015-10-13	
壁	C- 			p	ˤ	 	e 	k 	 			B&SOC2015-10-13	
毖	 			p		r 	i 	t 		s 		B&SOC2015-10-13	
閟	 			p		r 	i 	t 		s 		B&SOC2015-10-13	
柲	 			p		r 	i 	t 	 			B&SOC2015-10-13	
碧	 			p		r 	a 	k 	 			B&SOC2015-10-13	
賁	 			p		 	o 	r 		s 		B&SOC2015-10-13	
髀	 			p		 	e 	 	ʔ 			B&SOC2015-10-13	
臂	 			p		 	e 	k 		s 		B&SOC2015-10-13	
蔽	 			p		 	e 	t 		s 		B&SOC2015-10-13	
辟	 			p		 	e 	k 	 			B&SOC2015-10-13	
璧	 			p		 	e 	k 	 			B&SOC2015-10-13	
庇	 			p		 	i	j 	 			B&SOC2015-10-13	
畀	 			p		 	i 	t 		s 		B&SOC2015-10-13	
比	 			p		 	i	j 		s 		B&SOC2015-10-13	
庇	 			p		 	i	j 		s 		B&SOC2015-10-13	
妣	 			p		 	i	j 	ʔ	s 		B&SOC2015-10-13	
必	 			p		 	i 	t 	 			B&SOC2015-10-13	
畢	 			p		 	i 	t 	 			B&SOC2015-10-13	
彃	 			p		 	i 	t 	 			B&SOC2015-10-13	
篳	 			p		 	i 	t 	 			B&SOC2015-10-13	
蹕	 			p		 	i 	t 	 			B&SOC2015-10-13	
韠	 			p		 	i 	t 	 			B&SOC2015-10-13	
邊	 			p	ˤ	 	e 	n 	 			B&SOC2015-10-13	
編	 			p	ˤ	 	e 	r 	 			B&SOC2015-10-13	
𠓥	 			p		 	e 	n 	 			B&SOC2015-10-13	
鞭	 			p		 	e 	n 	 			B&SOC2015-10-13	
籩	 			p		 	e 	n 	 			B&SOC2015-10-13	
編	 			p		 	e 	r 	 			B&SOC2015-10-13	
扁	 			p	ˤ	 	e 	r 	ʔ 			B&SOC2015-10-13	
貶	 			p		r 	o 	m 	ʔ 			B&SOC2015-10-13	
貶	 			p		r 	e 	m 	ʔ 			B&SOC2015-10-13	
窆	 			p		r 	o 	m 		s 		B&SOC2015-10-13	
釆	 			b	ˤ	r 	e 	n 		s 		B&SOC2015-10-13	
辮	m- 			p	ˤ	 	e 	r 	ʔ 			B&SOC2015-10-13	
辨	 			b		r 	e 	n 	ʔ 			B&SOC2015-10-13	
辯	 			b		r 	e 	n 	ʔ 			B&SOC2015-10-13	
弁	C- 			b		r 	o 	n 		s 		B&SOC2015-10-13	
卞	 			b		r 	o 	n 		s 		B&SOC2015-10-13	
諞	m- 			pʰ		 	e 	r 	ʔ 			B&SOC2015-10-13	
便	 			b		 	e 	n 		s 		B&SOC2015-10-13	
徧	 			p	ˤ	 	e 	n 		s 		B&SOC2015-10-13	
辡	 			p		r 	e 	n 	ʔ 			B&SOC2015-10-13	
變	 			p		r 	o 	n 		s 		B&SOC2015-10-13	
髟	 			p		r 	i	w 	 			B&SOC2015-10-13	
表	 			p		r 	a	w 	ʔ 			B&SOC2015-10-13	
摽	 			b		 	e	w 	ʔ 			B&SOC2015-10-13	
鱉	 			p		 	e 	t 	 			B&SOC2015-10-13	
別	N- 			p		r 	e 	t 	 			B&SOC2015-10-13	
別	 			p		r 	e 	t 	 			B&SOC2015-10-13	
豳	 			p		r 	ə 	n 	 			B&SOC2015-10-13	
賓	 			p		 	i 	n 	 			B&SOC2015-10-13	
瀕	 			p		 	i 	n 	 			B&SOC2015-10-13	
冫	p- 			r		 	ə 	ŋ 	 			B&SOC2015-10-13	
冰	p- 			r		 	ə 	ŋ 	 			B&SOC2015-10-13	
兵	 			p		r 	a 	ŋ 	 			B&SOC2015-10-13	
并	 			p		 	e 	ŋ 	 			B&SOC2015-10-13	
稟	p- 			r		 	i 	m 	ʔ 			B&SOC2015-10-13	
禀	p- 			r		 	i 	m 	ʔ 			B&SOC2015-10-13	
丙	 			p		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
邴	 			p		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
秉	 			p		r 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
餅	 			p		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
並	 			b	ˤ	 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
病	 			b		r 	a 	ŋ 		s 		B&SOC2015-10-13	
枋	 			p		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
柄	 			p		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
棅	 			p		r 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
并	 			p		 	e 	ŋ 		s 		B&SOC2015-10-13	
波	 			p	ˤ	 	a	j 	 			B&SOC2015-10-13	
番	 			p	ˤ	 	a 	r 	 			B&SOC2015-10-13	
剝	 			p	ˤ	r 	o 	k 	 			B&SOC2015-10-13	
撥	 			p	ˤ	 	a 	t 	 			B&SOC2015-10-13	
帛	 			b	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
薄	 			b	ˤ	 	a 	k 	 			B&SOC2015-10-13	
泊	 			b	ˤ	 	a 	k 	 			B&SOC2015-10-13	
孛	 			b	ˤ	 	u 	t 	 			B&SOC2015-10-13	
艴	 			b	ˤ	 	u 	t 	 			B&SOC2015-10-13	
勃	 			b	ˤ	 	u 	t 	 			B&SOC2015-10-13	
悖	 			b	ˤ	 	u 	t 	 			B&SOC2015-10-13	
伯	 			p	ˤ	r 	a 	k 	 			B&SOC2015-10-13	
駁				p	ˤ	r 	a	wk 	 			B&SOC2015-10-13	
博	 			p	ˤ	 	a 	k 	 			B&SOC2015-10-13	
搏	 			p	ˤ	 	a 	k 	 			B&SOC2015-10-13	
胉	 			pʰ	ˤ	 	a 	k 	 			B&SOC2015-10-13	
搏	 			p		r 	a 	k 		s 		B&SOC2015-10-13	
襮	 			p	ˤ	 	a	wk 	 			B&SOC2015-10-13	
跛	 			p	ˤ	 	a	j 	ʔ 			B&SOC2015-10-13	
簸	 			p	ˤ	 	a	j 	ʔ 			B&SOC2015-10-13	
簸	 			p	ˤ	 	a	j 	ʔ	s 		B&SOC2015-10-13	
播	 			p	ˤ	 	a 	r 		s 		B&SOC2015-10-13	
擘	 			p	ˤ	r 	e 	k 	 			B&SOC2015-10-13	
哺	 			b	ˤ	 	a 	 		s 		B&SOC2015-10-13	
補	Cə-			p	ˤ	 	a 	 	ʔ 			B&SOC2015-10-13	
卜	 			p	ˤ	 	o 	k 	 			B&SOC2015-10-13	
簿	 			b	ˤ	 	a 	 	ʔ 			B&SOC2015-10-13	
步	mə-			b	ˤ	 	a 	 		s 		B&SOC2015-10-13	
部	 			b	ˤ	r 	o 	 	ʔ 			B&SOC2015-10-13	
不				p		 	ə 	 	 			B&SOC2015-10-13	
布	 			p	ˤ	 	a 	 		s 		B&SOC2015-10-13	
才				dz	ˤ	 	ə 	 	 			B&SOC2015-10-13	
材				dz	ˤ	 	ə 	 	 			B&SOC2015-10-13	
財				dz	ˤ	 	ə 	 	 			B&SOC2015-10-13	
