BS_parsed.txt
zi	Preinitial1	Preinitial 2	Obstruent contact	Initial	A/B type	Medial	Nucleus	Final	Postcoda *-ʔ	Postcoda *-s		Source	
痡	 			pʰ	ˤ	 	a 	 	 			B&SOC2015-10-13	
鋪	 			pʰ	ˤ	 	a 	 	 			B&SOC2015-10-13	
仆	 			pʰ	ˤ	r 	o 	k 		s 		B&SOC2015-10-13	
撲	 			pʰ	ˤ	 	o 	k 	 			B&SOC2015-10-13	
匍	 			b	ˤ	 	a 	 	 			B&SOC2015-10-13	
蒲	 			b	ˤ	 	a 	 	 			B&SOC2015-10-13	
僕	 			b	ˤ	 	o 	k 	 			B&SOC2015-10-13	
濮	 			p	ˤ	 	o 	k 	 			B&SOC2015-10-13	
樸	 			pʰ	ˤ	r 	o 	k 	 			B&SOC2015-10-13	
浦	 			pʰ	ˤ	 	a 	 	ʔ 			B&SOC2015-10-13	
暴	m- 			p	ˤ	 	a	wk 	 			B&SOC2015-10-13	
曝	m- 			p	ˤ	 	a	wk 	 			B&SOC2015-10-13	
期	 			g		r 	ə 	 	 			B&SOC2015-10-13	
欺	 			kʰ		r 	ə 	 	 			B&SOC2015-10-13	
棲	s- 			n	ˤ	 	ə 	r 	 			B&SOC2015-10-13	
栖	s- 			n	ˤ	 	ə 	r 	 			B&SOC2015-10-13	
妻	 			tsʰ	ˤ	 	ə	j 	 			B&SOC2015-10-13	
萋	 			tsʰ	ˤ	 	ə	j 	 			B&SOC2015-10-13	
慼	s- 			tʰ	ˤ	 	i	wk 	 			B&SOC2015-10-13	
戚	s- 			tʰ	ˤ	 	i	wk 	 			B&SOC2015-10-13	
鏚	s- 			tʰ	ˤ	 	i	wk 	 			B&SOC2015-10-13	
緝	 			tsʰ		 	ə 	p 	 			B&SOC2015-10-13	
七	 			tsʰ		 	i 	t 	 			B&SOC2015-10-13	
桼	 			tsʰ		 	i 	t 	 			B&SOC2015-10-13	
漆	 			tsʰ		 	i 	t 	 			B&SOC2015-10-13	
懠	 			dz	ˤ	 	i	j 	 			B&SOC2015-10-13	
臍	 			dz	ˤ	 	ə	j 	 			B&SOC2015-10-13	
齊	 			dz	ˤ	 	ə	j 	 			B&SOC2015-10-13	
懠	 			dz	ˤ	 	i	j 		s 		B&SOC2015-10-13	
棋	 			g		r 	ə 	 	 			B&SOC2015-10-13	
旗	 			g		r 	ə 	 	 			B&SOC2015-10-13	
綦	 			g		r 	ə 	 	 			B&SOC2015-10-13	
騏	 			g		r 	ə 	 	 			B&SOC2015-10-13	
丌	 			g		 	ə 	 	 			B&SOC2015-10-13	
其	 			g		 	ə 	 	 			B&SOC2015-10-13	
綦	 			g		r 	ə 	 		s 		B&SOC2015-10-13	
耆	 			g		r 	i	j 	 			B&SOC2015-10-13	
鰭	 			g		r 	i	j 	 			B&SOC2015-10-13	
祁	 			g		r 	i	j 	 			B&SOC2015-10-13	
祁	 			g		r 	ə	j 	 			B&SOC2015-10-13	
蟣	C- 			g		 	ə	j 	 			B&SOC2015-10-13	
祈	C- 			ɢ		 	ə 	r 	 			B&SOC2015-10-13	
旂	C- 			ɢ		 	ə 	r 	 			B&SOC2015-10-13	
蘄	C- 			ɢ		 	ə 	r 	 			B&SOC2015-10-13	
騎	C- 			g		r 	a	j 	 			B&SOC2015-10-13	
錡	C- 			ɢ		r 	a	j 	 			B&SOC2015-10-13	
奇	N- 			k		r 	a	j 	 			B&SOC2015-10-13	
騎	 			g		r 	a	j 		s 		B&SOC2015-10-13	
歧	N- 			k		 	e 	 	 			B&SOC2015-10-13	
祇	k- 			d		 	e 	 	 			B&SOC2015-10-13	
稽	 			kʰ	ˤ	 	i	j 	ʔ 			B&SOC2015-10-13	
䭫	 			kʰ	ˤ	 	i	j 	ʔ 			B&SOC2015-10-13	
启	 			kʰ	ˤ	 	i	j 	ʔ 			B&SOC2015-10-13	
起	C- 			qʰ		r 	ə 	 	ʔ 			B&SOC2015-10-13	
豈	C- 			qʰ		 	ə	j 	ʔ 			B&SOC2015-10-13	
乞	C- 			qʰ		 	ə 	t 	 			B&SOC2015-10-13	
綺	 			kʰ		r 	a	j 	ʔ 			B&SOC2015-10-13	
企	 			kʰ		 	e 	 	ʔ 			B&SOC2015-10-13	
企	 			kʰ		 	e 	 	ʔ	s 		B&SOC2015-10-13	
契	 			kʰ	ˤ	 	e 	t 		s 		B&SOC2015-10-13	
亟	 			kʰ		r 	ə 	k 		s 		B&SOC2015-10-13	
器	 			kʰ		r 	ə 	t 		s 		B&SOC2015-10-13	
湆	 			kʰ		r 	ə 	p 	 			B&SOC2015-10-13	
泣	k-			r		 	ə 	p 				B&SOC2015-10-13	
气	C- 			qʰ		 	ə 	p 		s 		B&SOC2015-10-13	
氣	C- 			qʰ		 	ə 	p 		s 		B&SOC2015-10-13	
憩	C- 			qʰ		r 	a 	t 		s 		B&SOC2015-10-13	
愒	C- 			qʰ		r 	a 	t 	 			B&SOC2015-10-13	
棄	 			kʰ		 	i 	t 		s 		B&SOC2015-10-13	
弃	 			kʰ		 	i 	t 		s 		B&SOC2015-10-13	
妻	 			tsʰ	ˤ	 	ə	j 		s 		B&SOC2015-10-13	
訖	 			qʰ		 	ə 	t 		s 		B&SOC2015-10-13	
洽	N- 			k	ˤ	r 	o 	p 	 			B&SOC2015-10-13	
㓞	 			kʰ	ˤ	r 	e 	t 	 			B&SOC2015-10-13	
幵	 			k	ˤ	 	e 	r 	 			B&SOC2015-10-13	
謙	k-			r	ˤ	 	e 	m 				B&SOC2015-10-13	
牽	 			kʰ	ˤ	 	i 	n 	 			B&SOC2015-10-13	
愆	C- 			qʰ		r 	a 	n 	 			B&SOC2015-10-13	
褰	 			kʰ		r 	a 	n 	 			B&SOC2015-10-13	
阡	 			tsʰ	ˤ	 	i 	n 	 			B&SOC2015-10-13	
千	s-			n	ˤ	 	i 	ŋ 				B&SOC2015-10-13	
僉	s- 			qʰ		 	a 	m 	 			B&SOC2015-10-13	
譣	s- 			qʰ		  	a  	m  				B&SOC2015-10-13	
𠨧	 			tsʰ		 	a 	r 	 			B&SOC2015-10-13	
遷	 			tsʰ		 	a 	r 	 			B&SOC2015-10-13	
餰	t- 			q		 	a 	n 	 			B&SOC2015-10-13	
前	 			dz	ˤ	 	e 	n 	 			B&SOC2015-10-13	
潛	 			dz		 	o 	m 	 			B&SOC2015-10-13	
潛	 			dz		 	o 	m 		s 		B&SOC2015-10-13	
錢	N- 			ts		 	a 	n 	 			B&SOC2015-10-13	
鉗	C- 			g		r 	e 	m 	 			B&SOC2015-10-13	
黔	 			g		r 	o 	m 	 			B&SOC2015-10-13	
乾	 			g		r 	a 	r 	 			B&SOC2015-10-13	
虔	 			g		r 	a 	n 	 			B&SOC2015-10-13	
燂	sə-			l		 	o 	m 	 			B&SOC2015-10-13	
遣	 			kʰ		 	e 	n 	ʔ 			B&SOC2015-10-13	
譣	s- 			qʰ		 	a 	m 	ʔ 			B&SOC2015-10-13	
淺	 			tsʰ		 	e 	n 	ʔ 			B&SOC2015-10-13	
歉	 			kʰ	ˤ	r 	e 	m 	ʔ	s 		B&SOC2015-10-13	
遣	 			kʰ		 	e 	n 	ʔ	s 		B&SOC2015-10-13	
欠	 			kʰ		r 	o 	m 		s 		B&SOC2015-10-13	
塹	 			tsʰ		 	a 	m 		s 		B&SOC2015-10-13	
羌	C- 			qʰ		 	a 	ŋ 	 			B&SOC2015-10-13	
彊	N- 			k		 	a 	ŋ 	 			B&SOC2015-10-13	
强	N- 			k		 	a 	ŋ 	 			B&SOC2015-10-13	
强	m- 			k		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
蹻				g		r 	a	wk 	 			B&SOC2015-10-13	
磽	C- 			qʰ	ˤ	r 	e	w 	 			B&SOC2015-10-13	
骹	 			kʰ	ˤ	r 	a	w 	 			B&SOC2015-10-13	
喬	N- 			k		r 	a	w 	 			B&SOC2015-10-13	
蕎				g		r 	a	w 	 			B&SOC2015-10-13	
橋				g		r 	a	w 	 			B&SOC2015-10-13	
翹	 			g		 	e	w 	 			B&SOC2015-10-13	
巧	 			kʰ	ˤ	r 	u 	 	ʔ 			B&SOC2015-10-13	
竅	 			kʰ	ˤ	 	e	wk 		s 		B&SOC2015-10-13	
且	 			tsʰ		 	A 	 	ʔ 			B&SOC2015-10-13	
匧	 			kʰ	ˤ	 	e 	p 	 			B&SOC2015-10-13	
契	 			kʰ	ˤ	 	e 	t 	 			B&SOC2015-10-13	
鍥	 			kʰ	ˤ	 	e 	t 	 			B&SOC2015-10-13	
竊	 			tsʰ	ˤ	 	e 	t 	 			B&SOC2015-10-13	
切	 			tsʰ	ˤ	 	i 	t 	 			B&SOC2015-10-13	
妾	 			tsʰ		 	a 	p 	 			B&SOC2015-10-13	
衾	 			kʰ		r 	ə 	m 	 			B&SOC2015-10-13	
侵	 			tsʰ		 	i 	m 	 			B&SOC2015-10-13	
駸	 			tsʰ		 	i 	m 	 			B&SOC2015-10-13	
親	 			tsʰ		 	i 	n 	 			B&SOC2015-10-13	
駸	 			tsʰ		r 	i 	m 	 			B&SOC2015-10-13	
鬵	sə-			l		 	ə 	m 	 			B&SOC2015-10-13	
秦	 			dz		 	i 	n 	 			B&SOC2015-10-13	
擒	C- 			ɢ		r 	ə 	m 	 			B&SOC2015-10-13	
禽	C- 			ɢ		r 	ə 	m 	 			B&SOC2015-10-13	
琴	C- 			ɢ		r 	ə 	m 	 			B&SOC2015-10-13	
堇	 			g		r 	ə 	r 	 			B&SOC2015-10-13	
矜	 			g		r 	i 	ŋ 	 			B&SOC2015-10-13	
芹	C- 			ɢ		 	ə 	r 	 			B&SOC2015-10-13	
勤	 			g		 	ə 	r 	 			B&SOC2015-10-13	
懃	 			g		 	ə 	r 	 			B&SOC2015-10-13	
鬵	sə-			l		 	ə 	m 	 			B&SOC2015-10-13	
螼	C- 			qʰ		r 	ə 	r 	ʔ 			B&SOC2015-10-13	
螼	C- 			qʰ		r 	ə 	r 	ʔ	s 		B&SOC2015-10-13	
寢	 			tsʰ		 	i 	m 	ʔ 			B&SOC2015-10-13	
衿	C- 			ɢ		r 	ə 	m 		s 		B&SOC2015-10-13	
卿	C- 			qʰ		r 	a 	ŋ 	 			B&SOC2015-10-13	
輕	 			kʰ		 	e 	ŋ 	 			B&SOC2015-10-13	
傾	 			kʷʰ		 	e 	ŋ 	 			B&SOC2015-10-13	
青	s-			r	ˤ	 	e 	ŋ 				B&SOC2015-10-13	
清	 			tsʰ		 	e 	ŋ 	 			B&SOC2015-10-13	
晴	N- 			tsʰ		 	e 	ŋ 	 			B&SOC2015-10-13	
情	 			dz		 	e 	ŋ 	 			B&SOC2015-10-13	
請	m- 			tsʰ		 	e 	ŋ 	 			B&SOC2015-10-13	
謦	C- 			qʰ	ˤ	 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
頃	 			kʷʰ		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
請	 			tsʰ		 	e 	ŋ 	ʔ 			B&SOC2015-10-13	
殸	C- 			qʰ	ˤ	 	e 	ŋ 		s 		B&SOC2015-10-13	
磬	C- 			qʰ	ˤ	 	e 	ŋ 		s 		B&SOC2015-10-13	
𥥻	 			kʰ	ˤ	 	e 	ŋ 		s 		B&SOC2015-10-13	
罄	 			kʰ	ˤ	 	e 	ŋ 		s 		B&SOC2015-10-13	
慶	 			kʰ		r 	a 	ŋ 		s 		B&SOC2015-10-13	
凊	 			tsʰ		 	e 	ŋ 		s 		B&SOC2015-10-13	
窮	 			g		r 	u 	ŋ 	 			B&SOC2015-10-13	
窮	m- 			g		r 	u 	ŋ 	 			B&SOC2015-10-13	
瞏	 			gʷ		 	e 	ŋ 	 			B&SOC2015-10-13	
丘				kʷʰ		 	ə 	 	 			B&SOC2015-10-13	
蚯				kʷʰ		 	ə 	 	 			B&SOC2015-10-13	
緧				tsʰ		 	u 	 	 			B&SOC2015-10-13	
秋	 			tsʰ		 	i	w 	 			B&SOC2015-10-13	
蝤				dz		 	u 	 	 			B&SOC2015-10-13	
酋	m-			ts		 	u 	 	 			B&SOC2015-10-13	
球				g		r 	u 	 	 			B&SOC2015-10-13	
仇				g		r 	u 	 	 			B&SOC2015-10-13	
求				g		r 	u 	 	 			B&SOC2015-10-13	
裘	 			gʷ		 	ə 	 	 			B&SOC2015-10-13	
逑				g		r 	u 	 	 			B&SOC2015-10-13	
遒				ts		 	u 	 	 			B&SOC2015-10-13	
泅	s-	N- 		r		 	u 	 	 			B&SOC2015-10-13	
囚	sə-			l		 	u 	 	 			B&SOC2015-10-13	
胠	 			kʰ		r 	a 	p 	 			B&SOC2015-10-13	
曲	 			kʰ		r 	o 	k 	 			B&SOC2015-10-13	
驅	 			kʰ		r 	o 	 	 			B&SOC2015-10-13	
屈	Nə-			kʰ		 	u 	t 	 			B&SOC2015-10-13	
屈	 			kʰ		 	u 	t 	 			B&SOC2015-10-13	
岨				tsʰ		 	a 	 	 			B&SOC2015-10-13	
趨	 			tsʰ		r 	o 	 	 			B&SOC2015-10-13	
渠				g		r 	a 	 	 			B&SOC2015-10-13	
劬				g		r 	o 	 	 			B&SOC2015-10-13	
絇				g		r 	o 	 	 			B&SOC2015-10-13	
瞿				gʷ		r 	a 	 	 			B&SOC2015-10-13	
䀠	 			kʷ		r 	a 	 		s 		B&SOC2015-10-13	
取				tsʰ		 	o 	 	ʔ 			B&SOC2015-10-13	
去	 			kʰ		r 	a 	 	ʔ 			B&SOC2015-10-13	
去	 			kʰ		r 	a 	p 		s 		B&SOC2015-10-13	
闃	k-			m	ˤ	 	i 	k 				B&SOC2015-10-13	
取				tsʰ		 	o 	 	ʔ	s 		B&SOC2015-10-13	
娶				tsʰ		 	o 	 	ʔ	s 		B&SOC2015-10-13	
趣				tsʰ		 	o 	 	ʔ	s 		B&SOC2015-10-13	
全	 			dz		 	o 	n 	 			B&SOC2015-10-13	
泉	s-	N- 		ɢʷ		 	a 	r 	 			B&SOC2015-10-13	
拳	N- 			k		r 	o 	n 	 			B&SOC2015-10-13	
權	 			gʷ		r 	a 	r 	 			B&SOC2015-10-13	
卷	 			gʷ		r 	e 	n 	 			B&SOC2015-10-13	
鬈	 			gʷ		r 	e 	n 	 			B&SOC2015-10-13	
犬	 			kʷʰ	ˤ	 	e 	n 	ʔ 			B&SOC2015-10-13	
勸	C- 			qʷʰ		 	a 	r 		s 		B&SOC2015-10-13	
缺	Nə-			kʷʰ	ˤ	 	e 	t 	 			B&SOC2015-10-13	
確				kʰ	ˤ	r 	a	wk 	 			B&SOC2015-10-13	
殼	 			kʰ	ˤ	r 	o 	k 	 			B&SOC2015-10-13	
卻	 			kʰ		 	a 	k 	 			B&SOC2015-10-13	
却	 			kʰ		 	a 	k 	 			B&SOC2015-10-13	
闕	 			kʷʰ		 	a 	t 	 			B&SOC2015-10-13	
闋	 			kʷʰ	ˤ	 	i 	t 	 			B&SOC2015-10-13	
鵲	 			tsʰ		 	a 	k 	 			B&SOC2015-10-13	
雀				ts		 	e	wk 	 			B&SOC2015-10-13	
囷	 			kʰ		r 	u 	n 	 			B&SOC2015-10-13	
夋	 			tsʰ		 	u 	r 	 			B&SOC2015-10-13	
裙	 			g		 	u 	r 	 			B&SOC2015-10-13	
群	 			g		 	u 	r 	 			B&SOC2015-10-13	
羣	 			g		 	u 	r 	 			B&SOC2015-10-13	
髯	 			n		 	a 	m 	 			B&SOC2015-10-13	
㸐	C- 			n		 	a 	n 	 			B&SOC2015-10-13	
燃	C- 			n		 	a 	n 	 			B&SOC2015-10-13	
然	 			n		 	a 	n 	 			B&SOC2015-10-13	
染	C- 			n		 	a 	m 	ʔ 			B&SOC2015-10-13	
熯	 			n		 	a 	r 	ʔ 			B&SOC2015-10-13	
攘	 			n		 	a 	ŋ 	 			B&SOC2015-10-13	
壤	 			n		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
攘	 			n		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
讓	 			n		 	a 	ŋ 		s 		B&SOC2015-10-13	
襓	 			ŋ		 	e	w 	 			B&SOC2015-10-13	
饒	 			ŋ		 	e	w 	 			B&SOC2015-10-13	
橈	  			ŋ		  	e	w  				B&SOC2015-10-13	
繞	 			ŋ		 	e	w 	ʔ 			B&SOC2015-10-13	
繞	 			ŋ		 	e	w 	ʔ	s 		B&SOC2015-10-13	
熱	C- 			n		 	a 	t 	 			B&SOC2015-10-13	
壬	 			n		 	ə 	m 	 			B&SOC2015-10-13	
人	 			n		 	i 	ŋ 	 			B&SOC2015-10-13	
仁	 			n		 	i 	ŋ 	 			B&SOC2015-10-13	
荏	 			n		 	ə 	m 	ʔ 			B&SOC2015-10-13	
稔	 			n		 	i 	m 	ʔ 			B&SOC2015-10-13	
忍	 			n		 	ə 	n 	ʔ 			B&SOC2015-10-13	
紝	 			n		r 	ə 	m 	 			B&SOC2015-10-13	
紝	 			n		 	ə 	m 	 			B&SOC2015-10-13	
衽	 			n		 	ə 	m 	ʔ 			B&SOC2015-10-13	
飪	 			n		 	ə 	m 	ʔ 			B&SOC2015-10-13	
恁	 			n		 	ə 	m 	ʔ 			B&SOC2015-10-13	
任	 			n		 	ə 	m 		s 		B&SOC2015-10-13	
衽	 			n		 	ə 	m 	ʔ	s 		B&SOC2015-10-13	
刃	 			n		 	ə 	n 		s 		B&SOC2015-10-13	
認	 			n		 	ə 	n 		s 		B&SOC2015-10-13	
軔	 			n		 	ə 	r 	ʔ	s 		B&SOC2015-10-13	
仍	 			n		 	ə 	ŋ 	 			B&SOC2015-10-13	
日	C- 			n		 	i 	k 	 			B&SOC2015-10-13	
衵	 			n		 	i 	k 	 			B&SOC2015-10-13	
榮	N- 			qʷ		r 	e 	ŋ 	 			B&SOC2015-10-13	
嶸	 			ɢʷ		r 	e 	ŋ 	 			B&SOC2015-10-13	
嶸	 			ɢʷ	ˤ	r 	e 	ŋ 	 			B&SOC2015-10-13	
戎	 			n		 	u 	ŋ 	 			B&SOC2015-10-13	
茙	 			n		 	u 	ŋ 	 			B&SOC2015-10-13	
㝐	 			ɢ		r 	o 	ŋ 	 			B&SOC2015-10-13	
容	 			ɢ		r 	o 	ŋ 	 			B&SOC2015-10-13	
頌	 			ɢ		r 	o 	ŋ 	 			B&SOC2015-10-13	
融	 			l		 	u 	ŋ 	 			B&SOC2015-10-13	
肜	m- 			r		 	u 	m 	 			B&SOC2015-10-13	
彡	m- 			r		 	u 	m 	 			B&SOC2015-10-13	
䑣	m- 			r		 	u 	m 	 			B&SOC2015-10-13	
柔	 			n		 	u 	 	 			B&SOC2015-10-13	
肉	k- 			n		 	u 	k 	 			B&SOC2015-10-13	
如	 			n		 	a 	 	 			B&SOC2015-10-13	
洳	 			n		 	a 	 	 			B&SOC2015-10-13	
茹	 			n		 	a 	 	ʔ 			B&SOC2015-10-13	
茹	 			n		 	a 	 		s 		B&SOC2015-10-13	
茹	 			n		 	a 	 	ʔ	s 		B&SOC2015-10-13	
濡	 			n		 	o 	 	 			B&SOC2015-10-13	
襦	 			n		 	o 	 	 			B&SOC2015-10-13	
汝	 			n		 	a 	 	ʔ 			B&SOC2015-10-13	
辱	 			n		 	o 	k 	 			B&SOC2015-10-13	
乳	 			n		 	o 	 	ʔ 			B&SOC2015-10-13	
入	 			n		 	u 	p 	 			B&SOC2015-10-13	
洳	 			n		 	a 	 		s 		B&SOC2015-10-13	
縟	 			n		 	o 	k 	 			B&SOC2015-10-13	
蓐	 			n		 	o 	k 	 			B&SOC2015-10-13	
孺	 			n		 	o 	 		s 		B&SOC2015-10-13	
緌	 			n		 	u	j 	 			B&SOC2015-10-13	
瑞	 			d		 	o 	r 		s 		B&SOC2015-10-13	
鋭	 			l		 	o 	t 		s 		B&SOC2015-10-13	
閏	 			n		 	u 	n 		s 		B&SOC2015-10-13	
若	 			n		 	a 	k 	 			B&SOC2015-10-13	
弱	 			n		 	e	wk 	 			B&SOC2015-10-13	
爇	 			n		 	o 	t 	 			B&SOC2015-10-13	
焫	 			n		 	o 	t 	 			B&SOC2015-10-13	
洒	Cə-			s		r 	ə 	r 	ʔ 			B&SOC2015-10-13	
灑	Cə-			s		r 	ə 	r 	ʔ 			B&SOC2015-10-13	
纚				s		r 	e 	 	ʔ 			B&SOC2015-10-13	
曬				s		r 	e 	 		s 		B&SOC2015-10-13	
灑	Cə-			s		r 	ə 	r 	ʔ	s 		B&SOC2015-10-13	
摋				s	ˤ	 	a 	t 	 			B&SOC2015-10-13	
塞				s	ˤ	 	ə 	k 		s 		B&SOC2015-10-13	
參	s- 			r		 	u 	m 	 			B&SOC2015-10-13	
三	s- 			r		 	u 	m 	 			B&SOC2015-10-13	
三	s- 			r		 	u 	m 		s 		B&SOC2015-10-13	
散				s	ˤ	 	a 	n 	ʔ 			B&SOC2015-10-13	
傘				s	ˤ	 	a 	r 	ʔ 			B&SOC2015-10-13	
散	mə-			s	ˤ	 	a 	n 	ʔ	s 		B&SOC2015-10-13	
桑				s	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
喪	s- 			m	ˤ	 	a 	ŋ 	 			B&SOC2015-10-13	
顙				s	ˤ	 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
喪	s- 			m	ˤ	 	a 	ŋ 		s 		B&SOC2015-10-13	
臊	m-			s	ˤ	 	a	w 	 			B&SOC2015-10-13	
鱢	m-			s	ˤ	 	a	w 	 			B&SOC2015-10-13	
騷				s	ˤ	 	u 	 	 			B&SOC2015-10-13	
搔	s-			ts	ˤ	 	u 	 	 			B&SOC2015-10-13	
燥	C-			s	ˤ	 	a	w 	ʔ	s 		B&SOC2015-10-13	
塞				s	ˤ	 	ə 	k 	 			B&SOC2015-10-13	
嗇	s- 			r		 	ə 	k 	 			B&SOC2015-10-13	
穡	s- 			r		 	ə 	k 	 			B&SOC2015-10-13	
色	s- 			r		 	ə 	k 	 			B&SOC2015-10-13	
瑟	s- 			m		r 	i 	t 	 			B&SOC2015-10-13	
森	s- 			r		 	ə 	m 	 			B&SOC2015-10-13	
槮	s-			r		 	ə 	m 				B&SOC2015-10-13	
沙				s	ˤ	r 	a	j 	 			B&SOC2015-10-13	
殺				s		r 	a 	t 	 			B&SOC2015-10-13	
翣				s	ˤ	r 	a 	p 	 			B&SOC2015-10-13	
歃				s	ˤ	r 	o 	p 	 			B&SOC2015-10-13	
歃				s		r 	o 	p 	 			B&SOC2015-10-13	
釃	Cə-			s		r 	e 	 	 			B&SOC2015-10-13	
殺				s		r 	a 	t 		s 		B&SOC2015-10-13	
芟				s	ˤ	r 	a 	m 	 			B&SOC2015-10-13	
髟				s	ˤ	r 	a 	m 	 			B&SOC2015-10-13	
潸				s	ˤ	r 	a 	n 	 			B&SOC2015-10-13	
潸				s		r 	a 	n 	 			B&SOC2015-10-13	
山	s- 			ŋ		r 	a 	r 	 			B&SOC2015-10-13	
苫	s- 			t		 	e 	m 	 			B&SOC2015-10-13	
羶	s- 			t		 	a 	n 	 			B&SOC2015-10-13	
羴	s- 			t		 	a 	n 	 			B&SOC2015-10-13	
膻	s- 			t		 	a 	n 	 			B&SOC2015-10-13	
贍	 			d		 	a 	m 		s 		B&SOC2015-10-13	
墠	 			d		 	a 	n 	ʔ 			B&SOC2015-10-13	
壇	 			d		 	a 	n 	ʔ 			B&SOC2015-10-13	
善	 			g		 	e 	n 	ʔ 			B&SOC2015-10-13	
擅	 			d		 	a 	n 		s 		B&SOC2015-10-13	
禪	 			d		 	a 	r 		s 		B&SOC2015-10-13	
繕	 			g		 	e 	n 	ʔ	s 		B&SOC2015-10-13	
苫	s- 			t		 	e 	m 		s 		B&SOC2015-10-13	
扇	 		◦	l		 	a 	r 		s 		B&SOC2015-10-13	
湯	 		◦	l		 	a 	ŋ 	 			B&SOC2015-10-13	
愓	 		◦	l		 	a 	ŋ 	 			B&SOC2015-10-13	
傷	 		◦	l		 	a 	ŋ 	 			B&SOC2015-10-13	
觴	 		◦	l		 	a 	ŋ 	 			B&SOC2015-10-13	
商	s- 			t		 	a 	ŋ 	 			B&SOC2015-10-13	
曏			◦	n		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
賞	s- 			t		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
上	Cə-			d		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
上	m- 			d		 	a 	ŋ 	ʔ 			B&SOC2015-10-13	
尚	 			d		 	a 	ŋ 		s 		B&SOC2015-10-13	
上	 			d		 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
餉			◦	n		 	a 	ŋ 	ʔ	s 		B&SOC2015-10-13	
曏			◦	n		 	a 	ŋ 		s 		B&SOC2015-10-13	
捎				s	ˤ	 	e	w 	 			B&SOC2015-10-13	
筲				s	ˤ	r 	e	w 	 			B&SOC2015-10-13	
燒			◦	ŋ		 	e	w 				B&SOC2015-10-13	
勺	m- 			t		 	e	wk 	 			B&SOC2015-10-13	
杓	m- 			t		 	e	wk 	 			B&SOC2015-10-13	
少	s- 			t		 	e	w 	ʔ 			B&SOC2015-10-13	
召	 			d		 	a	w 	ʔ 			B&SOC2015-10-13	
邵	 			d		 	a	w 		s 		B&SOC2015-10-13	
稍				s	ˤ	r 	e	w 		s 		B&SOC2015-10-13	
削				s	ˤ	r 	e	wk 		s 		B&SOC2015-10-13	
少	s- 			t			e	w 	ʔ	s 		B&SOC2015-10-13	
賖	 		◦	l			A 	 	 			B&SOC2015-10-13	
賒	 		◦	l		 	A 	 	 			B&SOC2015-10-13	
奢	s- 			tʰ		 	A 	 	 			B&SOC2015-10-13	
折	N- 			t		 	e 	t 	 			B&SOC2015-10-13	
蛇	Cə-			l		 	A	j 	 			B&SOC2015-10-13	
舌	mə-			l		 	a 	t 	 			B&SOC2015-10-13	
舍	 		◦	l			A 	 	ʔ 			B&SOC2015-10-13	
捨	 		◦	l		 	A 	 	ʔ 			B&SOC2015-10-13	
社	m- 			tʰ		 	A 	 	ʔ 			B&SOC2015-10-13	
舍	 		◦	l		 	A 	k 		s 		B&SOC2015-10-13	
赦	 		◦	l		 	A 	k 		s 		B&SOC2015-10-13	
攝	kə-		◦	n		 	e 	p 				B&SOC2015-10-13	
韘	 		◦	l		 	a 	p 	 			B&SOC2015-10-13	
設			◦	ŋ		 	e 	̊t 				B&SOC2015-10-13	
射	Cə-			l		 	A 	k 		s 		B&SOC2015-10-13	
射	Cə-			l		 	A 	k 	 			B&SOC2015-10-13	
參				s		r 	u 	m 	 			B&SOC2015-10-13	
兟				s		r 	ə 	r 	 			B&SOC2015-10-13	
莘				s		r 	i 	n 	 			B&SOC2015-10-13	
詵				s		r 	ə 	r 	 			B&SOC2015-10-13	
深	 		◦	l			ə 	m 	 			B&SOC2015-10-13	
深	 		◦	l			ə 	m 		s 		B&SOC2015-10-13	
紳	 		◦	l			i 	n 	 			B&SOC2015-10-13	
申	 		◦	l			i 	n 	 			B&SOC2015-10-13	
伸	 		◦	l		 	i 	n 	 			B&SOC2015-10-13	
呻	 		◦	l		 	i 	n 	 			B&SOC2015-10-13	
身			◦	n		 	i 	ŋ 				B&SOC2015-10-13	
娠	s- 			t		 	ə 	r 	 			B&SOC2015-10-13	
娠	 			t		 	ə 	r 		s 		B&SOC2015-10-13	
神	Cə-			l		 	i 	n 	 			B&SOC2015-10-13	
沈	s- 			t		 	ə 	m 	ʔ 			B&SOC2015-10-13	
諗			◦	n		 	̥i 	m 	ʔ 			B&SOC2015-10-13	
審	s- 			tʰ			ə 	m 	ʔ 			B&SOC2015-10-13	
哂			◦	n			ə 	r 	ʔ 			B&SOC2015-10-13	
瀋	 			tʰ			ə 	m 	ʔ 			B&SOC2015-10-13	
甚	t- 			ɢ		 	ə 	m 	ʔ 			B&SOC2015-10-13	
甚	t- 			ɢ		 	ə 	m 	ʔ	s 		B&SOC2015-10-13	
