zi,Preinitial1,Preinitial 2,Initial,Medial,Nucleus,Final,Postcoda *-ʔ,Postcoda *-s,,Source,,
胉, ,,pʰˤ, ,a ,k , ,,,B&SOC2015-10-13,,
搏, ,,p,r ,a ,k ,,s ,,B&SOC2015-10-13,,
襮, ,,pˤ, ,a,wk , ,,,B&SOC2015-10-13,,
跛, ,,pˤ, ,a,j ,ʔ ,,,B&SOC2015-10-13,,
簸, ,,pˤ, ,a,j ,ʔ ,,,B&SOC2015-10-13,,
簸, ,,pˤ, ,a,j ,ʔ,s ,,B&SOC2015-10-13,,
播, ,,pˤ, ,a ,r ,,s ,,B&SOC2015-10-13,,
擘, ,,pˤ,r ,e ,k , ,,,B&SOC2015-10-13,,
哺, ,,bˤ, ,a , ,,s ,,B&SOC2015-10-13,,
補,Cə- ,,pˤ, ,a , ,ʔ ,,,B&SOC2015-10-13,,
卜, ,,pˤ, ,o ,k , ,,,B&SOC2015-10-13,,
簿, ,,bˤ, ,a , ,ʔ ,,,B&SOC2015-10-13,,
步,mə- ,,bˤ, ,a , ,,s ,,B&SOC2015-10-13,,
部, ,,bˤ,r ,o , ,ʔ ,,,B&SOC2015-10-13,,
不,,,p, ,ə , , ,,,B&SOC2015-10-13,,
不,,,p, ,ə , , ,,,B&SOC2015-10-13,,
布, ,,pˤ, ,a , ,,s ,,B&SOC2015-10-13,,
布, ,,pˤ, ,a , ,,s ,,B&SOC2015-10-13,,
才,,,dzˤ, ,ə , , ,,,B&SOC2015-10-13,,
材,,,dzˤ, ,ə , , ,,,B&SOC2015-10-13,,
財,,,dzˤ, ,ə , , ,,,B&SOC2015-10-13,,
裁,,,dzˤ, ,ə , , ,,,B&SOC2015-10-13,,
采,s-,,rˤ, ,ə , ,ʔ ,,,B&SOC2015-10-13,,
采,s-,,rˤ, ,ə , ,ʔ ,,,B&SOC2015-10-13,,
彩,s-,,rˤ, ,ə , ,ʔ ,,,B&SOC2015-10-13,,
採,s-,,rˤ, ,ə , ,ʔ ,,,B&SOC2015-10-13,,
蔡,s-,,r,̥̥ ,̥̥a ,t ,,s ,,B&SOC2015-10-13,,
菜,s-,,rˤ, ,ə , ,ʔ,s ,,B&SOC2015-10-13,,
參,,,rˤ,,ə,,ʔ,,,B&SOC2015-10-13,,
驂,m-,,sˤ,r ,u ,m , ,,,B&SOC2015-10-13,,
慚, ,,dzˤ, ,a ,m , ,,,B&SOC2015-10-13,,
